SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
139,141,96,Junagadh,Visavadar,Jhanjeshri,Sau,UG,140.15,149.96,145.4,10.03,9.79,0.24,3.02,2.79,0.24,30.11%,22,185,NIL,0,0,0
150,130,93,Junagadh,Visavadar,Prempara,Sau,UG,120.5,127.5,116.97,1.33,1.27,0.06,0.00,0.00,0.00,0.00%,3,327,NIL,0,0,0
62,60,201,Kachchh,Abdasa,Berachia,Kutch,UG,65.7,70.4,69.2,6.86,5.51,1.35,5.01,3.66,1.35,73.03%,0,208,WARNING,0,0,0
60,58,199,Kachchh,Abdasa,Jangdia,Kutch,UG,34.7,38.6,34.7,9.04,6.85,2.19,2.20,0.01,2.19,24.34%,0,54,NIL,0,0,0
54,52,202,Kachchh,Abdasa,Kankawati,Kutch,UG,123.74,131.67,127.93,10.51,9.83,0.68,3.15,2.47,0.68,29.97%,0,199,NIL,0,0,0
65,64,200,Kachchh,Abdasa,Mitti,Kutch,UG,14.45,18.65,16.2,20.24,16.27,3.96,8.19,4.23,3.96,40.46%,0,92,NIL,0,0,0
47,45,206,Kachchh,Anjar,Tappar,Kutch,G,29.87,40.85,38.79,49.03,48.79,0.24,30.20,29.96,0.24,61.59%,6,90,NIL,0,0,0
56,54,191,Kachchh,Bhuj,Kaila,Kutch,UG,65.24,79.25,72.9,8.54,8.54,0.00,1.11,1.11,0.00,13.00%,0,140,NIL,0,0,0
58,56,189,Kachchh,Bhuj,Kaswati,Kutch,UG,43.89,51.2,45.2,8.20,7.96,0.24,0.79,0.55,0.24,9.63%,5,74,NIL,0,0,0
50,48,190,Kachchh,Bhuj,Rudramata,Kutch,UG,54.55,66.44,54,59.92,54.97,4.95,4.03,0.00,4.03,6.73%,2,96,NIL,0,0,0
48,46,198,Kachchh,Lakhpat,Godhatad,Kutch,UG,16.35,23,20.1,13.99,12.69,1.30,6.35,5.05,1.30,45.39%,0,36,NIL,0,0,0
51,49,196,Kachchh,Lakhpat,Nara,Kutch,UG,18.28,27.43,22.5,39.70,38.21,1.49,9.52,8.03,1.49,23.98%,0,27,NIL,0,0,0
49,47,197,Kachchh,Lakhpat,Sanandro,Kutch,UG,51.2,59.75,52.7,10.35,10.10,0.25,0.65,0.40,0.25,6.28%,0,30,NIL,0,0,0
46,63,203,Kachchh,Mandvi,Don,Kutch,UG,44.6,47.75,47.75,2.28,1.39,0.89,2.28,1.39,0.89,100%,0,180,HIGHALERT,5,5,0
59,57,204,Kachchh,Mundra,Gajod,Kutch,UG,82.3,90.85,85.49,7.71,7.37,0.34,1.51,1.17,0.34,19.58%,0,150,NIL,0,0,0
64,62,205,Kachchh,Mundra,Kalaghogha,Kutch,UG,31.5,37,37,4.98,4.26,0.72,4.98,4.26,0.72,100%,0,307,HIGHALERT,0,0,0
53,51,193,Kachchh,Nakhatrana,Bhukhi,Kutch,UG,62.05,73,65.7,15.58,14.58,1.00,3.12,2.12,1.00,20.03%,0,102,NIL,0,0,0
63,61,195,Kachchh,Nakhatrana,Gajansar,Kutch,UG,26.21,30,26.5,5.98,3.90,2.08,2.34,0.26,2.08,39.13%,0,19,NIL,0,0,0
55,53,194,Kachchh,Nakhatrana,Mathal,Kutch,UG,73.44,83.18,80,12.29,11.19,1.10,5.53,4.43,1.10,45.00%,0,191,NIL,0,0,0
