region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
South Gujarat,Bharuch,4.0,Hansot,892.0,212.0,7.0,219.0,24.55
South Gujarat,Bharuch,5.0,Jambusar,543.0,84.0,0.0,84.0,15.47
South Gujarat,Bharuch,6.0,Jhagadia,726.0,58.0,20.0,78.0,10.74
South Gujarat,Bharuch,7.0,Netrang,861.0,70.0,13.0,83.0,9.64
South Gujarat,Bharuch,8.0,Vagra,787.0,121.0,0.0,121.0,15.37
South Gujarat,Bharuch,9.0,Valia,817.0,87.0,8.0,95.0,11.63
South Gujarat,Bharuch,,Bharuch District Avg,763.0,97.11,8.0,105.11,13.78
South Gujarat,Dang,1.0,Dang-Ahwa,2260.0,118.0,250.0,368.0,16.28
South Gujarat,Dang,3.0,Vaghai,2423.0,83.0,196.0,279.0,11.51
South Gujarat,Dang,,Dang District Avg,2283.0,91.33,208.67,300.0,13.14
South Gujarat,Dang,,State Average,882.0,92.39,21.24,113.63,12.87
South Gujarat,Narmada,1.0,Dediapada,1230.0,64.0,45.0,109.0,8.86
South Gujarat,Narmada,2.0,Garudeshwar,989.0,26.0,11.0,37.0,3.74
South Gujarat,Narmada,3.0,Nandod,1004.0,36.0,19.0,55.0,5.48
South Gujarat,Narmada,4.0,Sagbara,1189.0,10.0,71.0,81.0,6.81
South Gujarat,Narmada,5.0,Tilakwada,1057.0,37.0,0.0,37.0,3.5
South Gujarat,Narmada,,Narmada District Avg,1094.0,34.6,29.2,63.8,5.83
South Gujarat,Navsari,1.0,Chikhli,1880.0,119.0,75.0,194.0,10.32
South Gujarat,Navsari,2.0,Gandevi,1867.0,71.0,51.0,122.0,6.53
South Gujarat,Navsari,3.0,Jalalpore,1722.0,83.0,18.0,101.0,5.87
South Gujarat,Navsari,4.0,Khergam,1988.0,100.0,121.0,221.0,11.12
South Gujarat,Navsari,5.0,Navsari,1809.0,94.0,25.0,119.0,6.58
South Gujarat,Navsari,6.0,Vansada,1939.0,66.0,160.0,226.0,11.66
South Gujarat,Navsari,,Navsari District Avg,1868.0,88.83,75.0,163.83,8.77
South Gujarat,South Gujarat Region,,South Gujarat Region Avg,1490.0,81.15,52.8,133.96,8.99
South Gujarat,Surat,1.0,Bardoli,1479.0,65.0,11.0,76.0,5.14
South Gujarat,Surat,2.0,Chorasi,1323.0,41.0,15.0,56.0,4.23
South Gujarat,Surat,3.0,Kamrej,1450.0,107.0,5.0,112.0,7.72
South Gujarat,Surat,4.0,Mahuva,1624.0,43.0,7.0,50.0,3.08
South Gujarat,Surat,5.0,Mandvi,1510.0,48.0,9.0,57.0,3.77
South Gujarat,Surat,5.0,Vyara,1680.0,63.0,26.0,89.0,5.3
South Gujarat,Surat,6.0,Mangrol,1415.0,94.0,26.0,120.0,8.48
South Gujarat,Surat,7.0,Olpad,1051.0,104.0,22.0,126.0,11.99
South Gujarat,Surat,8.0,Palsana,1483.0,58.0,15.0,73.0,4.92
South Gujarat,Surat,9.0,Surat City,1430.0,81.0,1.0,82.0,5.73
South Gujarat,Surat,10.0,Umarpada,1918.0,143.0,32.0,175.0,9.12
South Gujarat,Surat,,Surat District Avg,1468.0,78.4,14.3,92.7,6.31
South Gujarat,Tapi,1.0,Nizar,899.0,10.0,63.0,73.0,8.12
South Gujarat,Tapi,2.0,Songadh,1754.0,51.0,9.0,60.0,3.42
South Gujarat,Tapi,2.0,Subir,2167.0,73.0,180.0,253.0,11.68
South Gujarat,Tapi,3.0,Uchchhal,1001.0,20.0,13.0,33.0,3.3
South Gujarat,Tapi,4.0,Valod,1521.0,73.0,46.0,119.0,7.82
South Gujarat,Tapi,6.0,Dolvan,1785.0,152.0,105.0,257.0,14.4
South Gujarat,Tapi,7.0,Kukarmunda,931.0,34.0,38.0,72.0,7.73
South Gujarat,Tapi,,Tapi District Avg,1367.0,57.57,42.86,100.43,7.35
South Gujarat,Valsad,1.0,Dharampur,2443.0,47.0,168.0,215.0,8.8
South Gujarat,Valsad,2.0,Kaprada,2917.0,122.0,241.0,363.0,12.44
South Gujarat,Valsad,3.0,Pardi,2188.0,64.0,89.0,153.0,6.99
South Gujarat,Valsad,4.0,Umbergaon,1979.0,266.0,56.0,322.0,16.27
South Gujarat,Valsad,5.0,Valsad,2080.0,97.0,55.0,152.0,7.31
South Gujarat,Valsad,6.0,Vapi,2277.0,96.0,83.0,179.0,7.86
South Gujarat,Valsad,,Valsad District Avg,2314.0,115.33,115.33,230.67,9.97
