SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
12,Mahisagar,Balasinor,Wanakbori,CG,UG,60.05,67.3,41.88,36.22,5.66
17,Mahisagar,Kadana,Kadana,CG,G,99.06,127.71,1249.3,1191.7,57.6
19,Mahisagar,Khanpur,Bhadar (P),CG,G,110.95,123.72,30.95,29.23,1.72
14,Mahisagar,Lunawada,Panam,CG,G,106.68,127.41,578.19,552.97,25.22
189,Morbi,Halvad,Brahmani,Sau,UG,56.39,64.62,58.33,56.29,2.04
200,Morbi,Halvad,Brahmani-II,Sau,G,39.15,44.5,19.8,18.5,1.3
112,Morbi,Morbi,Demi - III,Sau,G,21.65,25.6,9.6,8.47,1.13
166,Morbi,Morbi,Ghodadhroi,Sau,G,93.12,98.3,6.88,5.55,1.33
150,Morbi,Morbi,Machchhu-II,Sau,G,47.24,57.3,87.9,84.1,3.8
203,Morbi,Morbi,Machchhu-III,Sau,G,22.35,28.7,7.99,6.46,1.53
178,Morbi,Tankara,Bangawadi,Sau,FG,36.36,42.65,7.67,7.58,0.09
172,Morbi,Tankara,Demi - I,Sau,FG,53.34,60.35,22.17,22.1,0.07
164,Morbi,Tankara,Demi - II,Sau,G,42,48,21.33,19.91,1.42
158,Morbi,Wankaner,Machchhu - I,Sau,UG,122.53,135.33,68.95,68.95,0
6,Narmada,Nandod,Karjan,SG,G,78,115.25,538.75,514.65,24.1
8,Narmada,Sagbara,Chopadvav,SG,FG,176.4,187.4,7.18,7.18,0
11,Narmada,Sagbara,Kakdi-Amba,SG,FG,177.21,187.71,7.31,7.29,0.02
43,Navsari,Vansada,Jhuj,SG,UG,147,167.5,28.65,27.58,1.07
44,Navsari,Vansada,Kelia,SG,UG,98.1,113.4,19.98,19.23,0.75
20,Panchmahal,Ghoghamba,Karad,CG,FG,123.44,140.08,42.45,40.06,2.39
15,Panchmahal,Halol,Deo,CG,G,80,89.65,67.95,61.35,6.59
145,Porbandar,Kutiyana,Amipur,Sau,G,3.35,5.64,30,28.85,1.15
146,Porbandar,Kutiyana,Kalindri,Sau,UG,45.82,52.23,7.22,6.5,0.72
199,Porbandar,Kutiyana,Saran,Sau,G,33.5,37,1.69,1.62,0.07
147,Porbandar,Porbandar,Advana,Sau,UG,20.15,24,2.61,2.21,0.4
144,Porbandar,Porbandar,Sorthi,Sau,UG,89.75,95.5,8.46,7.01,1.45
143,Porbandar,Ranavav,Khambhala,Sau,UG,29.26,39.63,15.37,15.33,0.04
142,Porbandar,Ranavav,Phodarness,Sau,UG,82.3,93.57,23.65,22.26,1.39
204,Porbandar,Ranavav,Rana Khirasara,Sau,G,28.52,36.75,4.02,3.97,0.05
149,Rajkot,Dhoraji,Bhadar - II,Sau,G,45.44,53.1,49,41.85,7.15
148,Rajkot,Gondal,Bhadar,Sau,G,97.54,107.9,188.14,187.91,0.23
179,Rajkot,Gondal,Kabir-Sarovar,Sau,UG,28.04,32.45,6.49,6.21,0.28
167,Rajkot,Gondal,Motisar,Sau,G,138.5,143,2.58,2.35,0.23
156,Rajkot,Gondal,Veri,Sau,G,139.19,142.04,4.59,4.59,0
159,Rajkot,Jamkandorna,Phophal - I,Sau,UG,73.98,81.75,51.83,48.83,3
174,Rajkot,Jasdan,Ghelo - S,Sau,UG,127.25,135.1,6.06,5.89,0.17
177,Rajkot,Jasdan,Ishwaria,Sau,UG,151.5,157.3,5.25,4.85,0.4
157,Rajkot,Jasdan,Karnuki,Sau,G,159,164.5,8.54,8.31,0.23
165,Rajkot,Jetpur,Chhaparwadi-II,Sau,G,90.76,98.38,16.62,15.27,1.35
169,Rajkot,Jetpur,Survo,Sau,G,92.15,99.85,13.9,13.66,0.24
173,Rajkot,Kotada sangani,Gondali,Sau,UG,36.58,45.8,10.11,9.97,0.14
155,Rajkot,Kotada sangani,Karmal,Sau,G,165,169,12.7,10.3,2.4
175,Rajkot,Kotada sangani,Vachhapari,Sau,UG,38.4,43.89,6.12,5.58,0.54
161,Rajkot,Lodhika,Nyari - I,Sau,G,96.85,104.5,35.36,33.62,1.74
