SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
126,110,126,Jamnagar,Jamjodhpur,Fulzar (KB),Sau,G,88.4,95.85,94.85,18.03,16.28,1.75,13.19,11.44,1.75,73.16%,0,210,WARNING,432,432,0
134,103,128,Jamnagar,Jamjodhpur,Umiyasagar,Sau,G,68,71.05,69.5,1.55,1.37,0.18,0.85,0.67,0.18,54.84%,0,265,NIL,663,663,0
118,107,160,Jamnagar,Jamnagar,Kankavati,Sau,G,26.5,30.5,27.53,6.82,6.39,0.43,0.99,0.56,0.43,14.52%,0,260,NIL,0,0,0
125,108,156,Jamnagar,Jamnagar,Rangmati,Sau,G,38.5,43.2,42.6,3.36,3.20,0.16,2.64,2.48,0.16,78.57%,0,280,WARNING,0,0,0
123,105,157,Jamnagar,Jamnagar,Ruparel,Sau,UG,45.05,48.2,48,4.27,3.74,0.53,3.88,3.35,0.53,90.87%,0,265,HIGHALERT,0,0,0
128,114,158,Jamnagar,Jamnagar,Sapada,Sau,UG,27.13,32.77,32.48,5.56,5.27,0.29,5.02,4.73,0.29,90.29%,0,255,HIGHALERT,0,0,0
120,94,163,Jamnagar,Jamnagar,Und-I,Sau,G,90.1,98,95.45,69.05,65.95,3.10,36.54,33.44,3.10,52.92%,0,215,NIL,0,0,0
116,101,159,Jamnagar,Jamnagar,Vijarkhi,Sau,UG,22.86,30.47,28.54,9.70,9.70,0.00,5.24,5.24,0.00,54.02%,0,280,NIL,0,0,0
135,206,155,Jamnagar,Jamnagar,Wagadiya,Sau,UG,60.2,62.05,62.05,2.27,1.25,1.02,2.27,1.25,1.02,100%,0,330,HIGHALERT,180,180,0
130,119,162,Jamnagar,Jamnagar,Wodisang,Sau,UG,72.7,76.5,75.9,7.85,5.58,2.27,6.46,4.19,2.27,82.29%,0,270,ALERT,0,0,0
127,111,174,Jamnagar,Jodiya,Aji-IV,Sau,G,14.45,20.4,13.5,39.83,37.49,2.34,1.31,0.00,1.31,3.29%,0,210,NIL,70,0,0
